article,section,clause,topic,citation
Article 1,Section 1,Clause 1,Vesting Clause,ArtI.S1.1
Article 1,Section 2,Clause 1,Qualifications Clause,ArtI.S2.C1
Article 1,Section 2,Clause 2,Qualifications of Members of the House of Representatives,ArtI.S2.C2
Article 1 ,Section 2,Clause 3, Enumeration Clause,ArtI.S2.C3
Article 1,Section 2,Clause 4,Vacancies,ArtI.S2.C4
Article 1,Section 2,Clause 5,The Power of Impeachment,ArtI.S2.C5
Article 1,Section 3,Clause 1,Composition and Election,ArtI.S3.C1
Article 1,Section 3,Clause 2,The Senate: Overview,ArtI.S3.C2
Article 1,Section 3,Clause 3,"Qualifications, Vice-President, Officers",ArtI.S3.C3
Article 1,Section 3,Clause 4,The Vice President: Rules,ArtI.S3.C4
Article 1,Section 3,Clause 5,Senate Officers and Pro Tempore,ArtI.S3.C5
Article 1,Section 3,Clause 6,The Power to Try Impeachments,ArtI.S3.C6
Article 1,Section 3,Clause 7,Judgment in Cases of Impeachment:,ArtI.S3.C7
Article 1,Section 4,Clause 1,"Times, Places, and Manner of Elections",ArtI.S4.C1
Article 1,Section 4,Clause 2,Time of Assembling,ArtI.S4.C2
Article 1,Section 5,Clause 1,"Judging Elections, Quorum, Rules, Discipline, Journal, Adjournment",ArtI.S5.C1
Article 1,Section 5,Clause 2,"Rule of Proceedings, Punishments expulsions",ArtI.S5.C2
Article 1,Section 5,Clause 3, Keeping a Journal of Proceedings,ArtI.S5.C3
Article 1,Section 5,Clause 4,Absentee House,ArtI.S5.C4
Article 1,Section 6,Clause 1,Compensation and Privileges for Members of Congress,ArtI.S6.C1
Article 1,Section 6,Clause 2,"Ineligibility, Incompatibility",ArtI.S6.C2
Article 1,Section 7,Clause 1,The Lawmaking Process,ArtI.S7.C1
Article 1,Section 7,Clause 2,Enactment of Legislation,ArtI.S7.C2
Article 1,Section 7,Clause 3,"Passage of Orders, Resolutions, or Votes",ArtI.S7.C3
Article 1,Section 8,Clause 1,Power to Tax and Spend,ArtI.S8.C1
Article 1,Section 8,Clause 2,Borrowing Power,ArtI.S8.C2
Article 1,Section 8,Clause 3,Power to Regulate Commerce,ArtI.S8.C3
Article 1,Section 8,Clause 4,Naturalization and Bankruptcy,ArtI.S8.C4
Article 1,Section 8,Clause 5,Coinage Power,ArtI.S8.C5
Article 1,Section 8,Clause 6,Counterfeiting Power,ArtI.S8.C6
Article 1,Section 8,Clause 7,Postal Power,ArtI.S8.C7
Article 1,Section 8,Clause 8,Copyrights and Patents,ArtI.S8.C8
Article 1,Section 8,Clause 9,Creation of Courts,ArtI.S8.C9
Article 1,Section 8,Clause 10,Maritime Crimes,ArtI.S8.C10
Article 1,Section 8,Clause 11,The War Power,ArtI.S8.C11
Article 1,Section 8,Clause 12,The War Power,ArtI.S8.C12
Article 1,Section 8,Clause 13,The War Power,ArtI.S8.C13
Article 1,Section 8,Clause 14,The War Power,ArtI.S8.C14
Article 1,Section 8,Clause 15,The Militia,ArtI.S8.C15
Article 1,Section 8,Clause 16,The Militia,ArtI.S8.C16
Article 1,Section 8,Clause 17,District of Columbia; Federal Property,ArtI.S8.C17
Article 1,Section 8,Clause 18,Necessary and Proper Clause,ArtI.S8.C18
