,article,section,clause,topic,citation,transaction
0,Article 1,Section 1,Clause 1,Vesting Clause,ArtI.S1.1,"{'uuid': 'd06a2de8e2b3463a84dc7e87e60f62b8', 'name': 'Clause 1', 'topic': 'Vesting Clause', 'citation': 'ArtI.S1.1'}"
1,Article 1,Section 2,Clause 1,Qualifications Clause,ArtI.S2.C1,"{'uuid': 'b706db4df15648449bc91671fcef49dd', 'name': 'Clause 1', 'topic': 'Qualifications Clause', 'citation': 'ArtI.S2.C1'}"
2,Article 1,Section 2,Clause 2,Qualifications of Members of the House of Representatives,ArtI.S2.C2,"{'uuid': '8bf59a80e59b49fa98358be1d3a8bd9a', 'name': 'Clause 2', 'topic': 'Qualifications of Members of the House of Representatives', 'citation': 'ArtI.S2.C2'}"
3,Article 1 ,Section 2,Clause 3, Enumeration Clause,ArtI.S2.C3,"{'uuid': '9d04abb7cd0a4d258da529c135b2e37b', 'name': 'Clause 3', 'topic': '\xa0Enumeration Clause', 'citation': 'ArtI.S2.C3'}"
4,Article 1,Section 2,Clause 4,Vacancies,ArtI.S2.C4,"{'uuid': '3750d5a4ee424723a71c5585cf83c6e6', 'name': 'Clause 4', 'topic': 'Vacancies', 'citation': 'ArtI.S2.C4'}"
5,Article 1,Section 2,Clause 5,The Power of Impeachment,ArtI.S2.C5,"{'uuid': '1a631b6ac1984986b320eff3c4fdac48', 'name': 'Clause 5', 'topic': 'The Power of Impeachment', 'citation': 'ArtI.S2.C5'}"
6,Article 1,Section 3,Clause 1,Composition and Election,ArtI.S3.C1,"{'uuid': 'f9a31105241e4a0888104b3db7912135', 'name': 'Clause 1', 'topic': 'Composition and Election', 'citation': 'ArtI.S3.C1'}"
7,Article 1,Section 3,Clause 2,The Senate: Overview,ArtI.S3.C2,"{'uuid': '8a26612b83b74283a78d565561aa1245', 'name': 'Clause 2', 'topic': 'The Senate: Overview', 'citation': 'ArtI.S3.C2'}"
8,Article 1,Section 3,Clause 3,"Qualifications, Vice-President, Officers",ArtI.S3.C3,"{'uuid': '194f1d462a8b4651b8bc807ac34abbef', 'name': 'Clause 3', 'topic': 'Qualifications, Vice-President, Officers', 'citation': 'ArtI.S3.C3'}"
9,Article 1,Section 3,Clause 4,The Vice President: Rules,ArtI.S3.C4,"{'uuid': '2691246b831f4d4794fed4cc89ddbff4', 'name': 'Clause 4', 'topic': 'The Vice President: Rules', 'citation': 'ArtI.S3.C4'}"
10,Article 1,Section 3,Clause 5,Senate Officers and Pro Tempore,ArtI.S3.C5,"{'uuid': 'bf2995a7b6174228ae7ba62efadd8c0e', 'name': 'Clause 5', 'topic': 'Senate Officers and Pro Tempore', 'citation': 'ArtI.S3.C5'}"
11,Article 1,Section 3,Clause 6,The Power to Try Impeachments,ArtI.S3.C6,"{'uuid': '0387c97758f74dff8e4c7935158b312e', 'name': 'Clause 6', 'topic': 'The Power to Try Impeachments', 'citation': 'ArtI.S3.C6'}"
12,Article 1,Section 3,Clause 7,Judgment in Cases of Impeachment:,ArtI.S3.C7,"{'uuid': '5ce18296246e49a1bc40b1277c713b93', 'name': 'Clause 7', 'topic': 'Judgment in Cases of Impeachment:', 'citation': 'ArtI.S3.C7'}"
13,Article 1,Section 4,Clause 1,"Times, Places, and Manner of Elections",ArtI.S4.C1,"{'uuid': 'b76a69a1bd674ecab502f2c03c4bfa9f', 'name': 'Clause 1', 'topic': 'Times, Places, and Manner of Elections', 'citation': 'ArtI.S4.C1'}"
14,Article 1,Section 4,Clause 2,Time of Assembling,ArtI.S4.C2,"{'uuid': '8d51fa4a294645429929ec39f08d81e3', 'name': 'Clause 2', 'topic': 'Time of Assembling', 'citation': 'ArtI.S4.C2'}"
15,Article 1,Section 5,Clause 1,"Judging Elections, Quorum, Rules, Discipline, Journal, Adjournment",ArtI.S5.C1,"{'uuid': '0a57b8ac6d3946af8b09c294ba0ab270', 'name': 'Clause 1', 'topic': 'Judging Elections, Quorum, Rules, Discipline, Journal, Adjournment', 'citation': 'ArtI.S5.C1'}"
16,Article 1,Section 5,Clause 2,"Rule of Proceedings, Punishments expulsions",ArtI.S5.C2,"{'uuid': '2dda6d16397741fcbd8f81c4b64ee297', 'name': 'Clause 2', 'topic': 'Rule of Proceedings, Punishments expulsions', 'citation': 'ArtI.S5.C2'}"
17,Article 1,Section 5,Clause 3, Keeping a Journal of Proceedings,ArtI.S5.C3,"{'uuid': '549379bd144d4c6db8b0f4e1d5fcb8bb', 'name': 'Clause 3', 'topic': '\xa0Keeping a Journal of Proceedings', 'citation': 'ArtI.S5.C3'}"
18,Article 1,Section 5,Clause 4,Absentee House,ArtI.S5.C4,"{'uuid': '9ea078fbbdb34ddda3421e3a79b3c5ec', 'name': 'Clause 4', 'topic': 'Absentee House', 'citation': 'ArtI.S5.C4'}"
19,Article 1,Section 6,Clause 1,Compensation and Privileges for Members of Congress,ArtI.S6.C1,"{'uuid': '6f9a384b75a44fd7854332661772a9b0', 'name': 'Clause 1', 'topic': 'Compensation and Privileges for Members of Congress', 'citation': 'ArtI.S6.C1'}"
20,Article 1,Section 6,Clause 2,"Ineligibility, Incompatibility",ArtI.S6.C2,"{'uuid': 'b84adbb13e3b46ff932bc3420582bd52', 'name': 'Clause 2', 'topic': 'Ineligibility, Incompatibility', 'citation': 'ArtI.S6.C2'}"
21,Article 1,Section 7,Clause 1,The Lawmaking Process,ArtI.S7.C1,"{'uuid': 'ad7027fe18d84f66b3356e654d907c92', 'name': 'Clause 1', 'topic': 'The Lawmaking Process', 'citation': 'ArtI.S7.C1'}"
22,Article 1,Section 7,Clause 2,Enactment of Legislation,ArtI.S7.C2,"{'uuid': '2ce23cee1f844e59b4aef6da39f3ada9', 'name': 'Clause 2', 'topic': 'Enactment of Legislation', 'citation': 'ArtI.S7.C2'}"
23,Article 1,Section 7,Clause 3,"Passage of Orders, Resolutions, or Votes",ArtI.S7.C3,"{'uuid': 'c89cb5627e0e47a5b954ec0b1ecfb2d6', 'name': 'Clause 3', 'topic': 'Passage of Orders, Resolutions, or Votes', 'citation': 'ArtI.S7.C3'}"
24,Article 1,Section 8,Clause 1,Power to Tax and Spend,ArtI.S8.C1,"{'uuid': '102e1d57aaa049d38cf613dd6a5ad3ae', 'name': 'Clause 1', 'topic': 'Power to Tax and Spend', 'citation': 'ArtI.S8.C1'}"
25,Article 1,Section 8,Clause 2,Borrowing Power,ArtI.S8.C2,"{'uuid': '8739e1cdaf4c416cbcebefa3f9be53f5', 'name': 'Clause 2', 'topic': 'Borrowing Power', 'citation': 'ArtI.S8.C2'}"
26,Article 1,Section 8,Clause 3,Power to Regulate Commerce,ArtI.S8.C3,"{'uuid': '8d09825c3da049e0af7cecfe904ce26d', 'name': 'Clause 3', 'topic': 'Power to Regulate Commerce', 'citation': 'ArtI.S8.C3'}"
