,article,section,topic,citation,transaction
0,Article 1,Section 1,Legislative Power Vested,ArtI.S1,"{'uuid': 'b21c0e9cc2474768b492fb7eeffafc98', 'name': 'Section 1', 'topic': 'Legislative Power Vested', 'citation': 'ArtI.S1'}"
1,Article 1,Section 2,House of Representatives,ArtI.S2,"{'uuid': 'eaff829aa9964364a3d100a86df438de', 'name': 'Section 2', 'topic': 'House of Representatives', 'citation': 'ArtI.S2'}"
2,Article 1,Section 3,Senate,ArtI.S3,"{'uuid': '24725960bfa7428abe1e2988b6cc7baa', 'name': 'Section 3', 'topic': 'Senate', 'citation': 'ArtI.S3'}"
3,Article 1,Section 4,Elections of Senators and Representatives,ArtI.S4,"{'uuid': 'a36c9b35e1d541e88325a0f66c749391', 'name': 'Section 4', 'topic': 'Elections of Senators and Representatives', 'citation': 'ArtI.S4'}"
4,Article 1,Section 5,Rules of House and Senate,ArtI.S5,"{'uuid': 'b701147cfa0a427f981c6776a4c78d9f', 'name': 'Section 5', 'topic': 'Rules of House and Senate', 'citation': 'ArtI.S5'}"
5,Article 1,Section 6,Compensation and Privileges of Members,ArtI.S6,"{'uuid': '5ce0d6930f2b41fcbb7498fe5fab88fd', 'name': 'Section 6', 'topic': 'Compensation and Privileges of Members', 'citation': 'ArtI.S6'}"
6,Article 1,Section 7,Passage of Bills,ArtI.S7,"{'uuid': '280702271fd647928d90931f95a17be9', 'name': 'Section 7', 'topic': 'Passage of Bills', 'citation': 'ArtI.S7'}"
7,Article 1,Section 8,Scope of Legislative Power,ArtI.S8,"{'uuid': 'a3b1cf1ec17f43b2abecbd76e12b49ff', 'name': 'Section 8', 'topic': 'Scope of Legislative Power', 'citation': 'ArtI.S8'}"
8,Article 1,Section 9,Limits on Legislative Power,ArtI.S9,"{'uuid': '21054d44aa574f24a2eca0bc04b2f18b', 'name': 'Section 9', 'topic': 'Limits on Legislative Power', 'citation': 'ArtI.S9'}"
9,Article 1,Section 10,Limits on States,ArtI.S10,"{'uuid': '9293adbf624e4bd99f5490db258d4b8e', 'name': 'Section 10', 'topic': 'Limits on States', 'citation': 'ArtI.S10'}"
10,Article 2,Section 1,"Election, Installation, Removal",ArtII.S1,"{'uuid': '1b077373252e49d59b842ee8375ae882', 'name': 'Section 1', 'topic': 'Election, Installation, Removal', 'citation': 'ArtII.S1'}"
11,Article 2,Section 2,Presidential Power,ArtII.S2,"{'uuid': '2a6475fd12e34964abf32a69001942fb', 'name': 'Section 2', 'topic': 'Presidential Power', 'citation': 'ArtII.S2'}"
12,Article 2,Section 3,"State of the Union, Receive Ambassadors, Laws Faithfully Executed, Commission Officers",ArtII.S3,"{'uuid': '2da64f0722c94fc8b8c0186665f21790', 'name': 'Section 3', 'topic': 'State of the Union, Receive Ambassadors, Laws Faithfully Executed, Commission Officers', 'citation': 'ArtII.S3'}"
13,Article 2,Section 4,Impeachment,ArtII.S4,"{'uuid': '8cf2caba870c460d98f6561e682866be', 'name': 'Section 4', 'topic': 'Impeachment', 'citation': 'ArtII.S4'}"
14,Article 3,Section 1,Judicial Power Vested,ArtIII.S1,"{'uuid': 'd45d1dcde5fe4a4c958cccc15a67e672', 'name': 'Section 1', 'topic': 'Judicial Power Vested', 'citation': 'ArtIII.S1'}"
15,Article 3,Section 2,Scope of Judicial Power,ArtIII.S2,"{'uuid': 'c206f038b86a431ab4256b5724bed595', 'name': 'Section 2', 'topic': 'Scope of Judicial Power', 'citation': 'ArtIII.S2'}"
16,Article 3,Section 3,Treason,ArtIII.S3,"{'uuid': '6e4bae95e1064cd8b25f7804724e5199', 'name': 'Section 3', 'topic': 'Treason', 'citation': 'ArtIII.S3'}"
17,Article 4,Section 1,Full Faith and Credit,ArtIV.S1,"{'uuid': '2e2f2b1ae76e4134982ce5b5b1fc2fdb', 'name': 'Section 1', 'topic': 'Full Faith and Credit', 'citation': 'ArtIV.S1'}"
18,Article 4,Section 2,"Privileges and Immunities, Extradiction, Fugitive Slaves",ArtIV.S2,"{'uuid': '8700fb40ee7641479f41541aa8d871c1', 'name': 'Section 2', 'topic': 'Privileges and Immunities, Extradiction, Fugitive Slaves', 'citation': 'ArtIV.S2'}"
19,Article 4,Section 3,Admission of States,ArtIV.S3,"{'uuid': 'fcb6a8ef92734cecaa9a3779191b2741', 'name': 'Section 3', 'topic': 'Admission of States', 'citation': 'ArtIV.S3'}"
20,Article 4,Section 4,Guarantees to States,ArtIV.S4,"{'uuid': 'a11d937c1f5d459fbb9f056669222840', 'name': 'Section 4', 'topic': 'Guarantees to States', 'citation': 'ArtIV.S4'}"
21,Article 5,Section 1,The Amendment Process,ArtV,"{'uuid': '001fb769642342ed99324c7e23c4af13', 'name': 'Section 1', 'topic': 'The Amendment Process', 'citation': 'ArtV'}"
22,Article 6 ,Section 1,Legal Status of the Constitution,ArtVI,"{'uuid': 'e0af8f3af5b042e1a9a5e709e9450237', 'name': 'Section 1', 'topic': 'Legal Status of the Constitution', 'citation': 'ArtVI'}"
23,Article 7 ,Section 1,Ratification,ArtVII,"{'uuid': '3686e97ab6fe4ffc95da7c6f29fbba46', 'name': 'Section 1', 'topic': 'Ratification', 'citation': 'ArtVII'}"
